40V/75A/300W	-14	1	14	33	47	62	76	90	102	117	131
1.00E-07	0.365600586	0.318603516	0.275268555	0.217285156	0.172119141	0.124511719	0.081787109	0.044555664	0.020751953	0.006713867	0.003051758
1.21E-07	0.370483398	0.32409668	0.280151367	0.222167969	0.177612305	0.130615234	0.087280273	0.048828125	0.023803711	0.007324219	0.003051758
1.47E-07	0.374755859	0.328979492	0.28503418	0.227050781	0.183105469	0.135498047	0.092163086	0.054321289	0.026855469	0.008544922	0.003662109
1.78E-07	0.379638672	0.333862305	0.289916992	0.232543945	0.188598633	0.141601563	0.098266602	0.05859375	0.030517578	0.010375977	0.004272461
2.15E-07	0.384521484	0.338134766	0.295410156	0.238037109	0.194702148	0.146484375	0.103759766	0.064086914	0.034790039	0.012207031	0.004882813
2.61E-07	0.389404297	0.343017578	0.299682617	0.242919922	0.199584961	0.152587891	0.109863281	0.069580078	0.037841797	0.014038086	0.004882813
3.16E-07	0.393066406	0.347290039	0.30456543	0.249023438	0.205078125	0.158081055	0.115356445	0.074462891	0.042724609	0.016479492	0.006713867
3.83E-07	0.397949219	0.3515625	0.309448242	0.253295898	0.210571289	0.16418457	0.121459961	0.080566406	0.047607422	0.018920898	0.00793457
4.64E-07	0.402832031	0.356445313	0.314331055	0.258789063	0.216674805	0.169677734	0.126342773	0.085449219	0.051879883	0.021972656	0.009155273
5.62E-07	0.407104492	0.361328125	0.319213867	0.263671875	0.221557617	0.175170898	0.132446289	0.090942383	0.057373047	0.025024414	0.010986328
6.81E-07	0.411987305	0.366210938	0.324707031	0.269775391	0.227050781	0.180053711	0.137939453	0.097045898	0.062255859	0.028686523	0.013427734
8.25E-07	0.416259766	0.370483398	0.329589844	0.274047852	0.232543945	0.186157227	0.144042969	0.102539063	0.067749023	0.032348633	0.015258789
1.00E-06	0.420532227	0.374755859	0.333862305	0.279541016	0.238037109	0.192260742	0.150146484	0.10925293	0.072631836	0.036621094	0.017700195
1.21E-06	0.424804688	0.379638672	0.338745117	0.28503418	0.243530273	0.197753906	0.155639648	0.114746094	0.078735352	0.041503906	0.021362305
1.47E-06	0.4296875	0.384521484	0.34362793	0.290527344	0.249633789	0.20324707	0.162353516	0.120849609	0.084228516	0.045776367	0.023803711
1.78E-06	0.433959961	0.390014648	0.347290039	0.295410156	0.255126953	0.209350586	0.16784668	0.126342773	0.08972168	0.05065918	0.02746582
2.15E-06	0.438232422	0.393676758	0.352172852	0.300292969	0.259399414	0.215454102	0.172729492	0.132446289	0.095825195	0.056152344	0.030517578
2.61E-06	0.443115234	0.399169922	0.357666016	0.305786133	0.264892578	0.220336914	0.178833008	0.137939453	0.101928711	0.061035156	0.035400391
3.16E-06	0.446777344	0.404052734	0.361328125	0.311279297	0.270996094	0.22644043	0.184936523	0.144042969	0.107421875	0.067138672	0.038452148
3.83E-06	0.451660156	0.408325195	0.366821289	0.316162109	0.275878906	0.231933594	0.190429688	0.150146484	0.112915039	0.072021484	0.043334961
4.64E-06	0.456542969	0.413208008	0.371704102	0.321044922	0.281982422	0.238037109	0.196533203	0.15625	0.119628906	0.078125	0.048217773
5.62E-06	0.460205078	0.41809082	0.376586914	0.326538086	0.286865234	0.243530273	0.202636719	0.162353516	0.12512207	0.083618164	0.053710938
6.81E-06	0.465087891	0.422973633	0.380859375	0.33203125	0.292358398	0.249023438	0.208740234	0.168457031	0.131835938	0.08972168	0.05859375
8.25E-06	0.46875	0.426635742	0.386352539	0.336914063	0.297241211	0.25390625	0.213623047	0.173339844	0.137329102	0.095825195	0.064086914
1.00E-05	0.474243164	0.431518555	0.391235352	0.342407227	0.303955078	0.260009766	0.219726563	0.179443359	0.144042969	0.102539063	0.07019043
1.21E-05	0.478515625	0.436401367	0.396118164	0.346679688	0.308837891	0.26550293	0.225830078	0.185546875	0.150146484	0.108642578	0.076293945
1.47E-05	0.482177734	0.440673828	0.400390625	0.3515625	0.313720703	0.271606445	0.231933594	0.191650391	0.15625	0.114746094	0.082397461
