100V/3A/40W	10	20	30	40	50	60	70	80	90	100
1.17E-05	0.5053366	0.4816554	0.457417	0.4328184	0.4079081	0.3827464	0.3574522	0.3317473	0.3060392	0.2803803
1.31E-05	0.5084748	0.4848138	0.4606228	0.4360917	0.4112408	0.3861423	0.3609453	0.3353241	0.3097316	0.2841504
1.47E-05	0.5116103	0.4879736	0.4638265	0.4393607	0.4145763	0.3895535	0.3644392	0.3389106	0.3134069	0.2879189
1.65E-05	0.5147479	0.491141	0.4670406	0.4426342	0.417918	0.3929786	0.3679399	0.3424946	0.3171017	0.2916854
1.86E-05	0.517878	0.4942996	0.4702441	0.4458976	0.4212497	0.3963973	0.3714333	0.3460714	0.3207617	0.2954439
2.09E-05	0.5210062	0.4974578	0.4734519	0.4491634	0.4245868	0.3998224	0.3749265	0.3496532	0.32443	0.2992021
2.34E-05	0.5241379	0.5006218	0.4766628	0.4524337	0.4279239	0.4032428	0.3784232	0.3532338	0.3281063	0.302965
2.63E-05	0.5272612	0.5037767	0.4798694	0.4556994	0.4312604	0.4066654	0.3819163	0.3568093	0.3317766	0.3067248
2.96E-05	0.5303789	0.5069225	0.4830731	0.4589634	0.4345947	0.410076	0.385407	0.3603824	0.335446	0.3104794
3.32E-05	0.5335002	0.5100743	0.4862804	0.4622323	0.4379347	0.4134916	0.3889036	0.3639738	0.3391149	0.3142419
3.73E-05	0.5366125	0.5132222	0.4894846	0.4654983	0.4412715	0.4169046	0.3923989	0.3675388	0.3427913	0.3180004
4.19E-05	0.5397236	0.5163692	0.492691	0.4687683	0.4446129	0.4203219	0.3958971	0.3711157	0.3464599	0.321766
4.70E-05	0.5428275	0.5195175	0.4958949	0.4720344	0.4479496	0.4237364	0.3993922	0.3746991	0.3501269	0.3255278
5.28E-05	0.5459241	0.5226642	0.499093	0.4752993	0.4512756	0.4271484	0.4028883	0.3782849	0.3538	0.3294235
5.93E-05	0.5490173	0.5258137	0.5022932	0.4785629	0.4546093	0.4305633	0.4063844	0.3818849	0.3574713	0.3331842
6.66E-05	0.5521077	0.5289584	0.5054924	0.4818297	0.4579422	0.4339826	0.4098853	0.3854755	0.3611538	0.3369465
7.48E-05	0.5551866	0.5321015	0.5086871	0.4850928	0.4612744	0.4373972	0.4133814	0.3890737	0.3648221	0.3407062
8.40E-05	0.5582605	0.5352318	0.5118774	0.4883527	0.4646065	0.4408126	0.4168775	0.3926632	0.3684998	0.3444619
9.44E-05	0.5613288	0.5383599	0.5150695	0.4916134	0.4679461	0.4442278	0.4203737	0.3962527	0.3721761	0.3482239
0.00010601	0.5643898	0.5414572	0.5182568	0.494872	0.4713061	0.4476423	0.4238785	0.3998191	0.3758528	0.3519877
0.000118998	0.5674288	0.5445639	0.5214252	0.4981132	0.4746175	0.4510413	0.4273624	0.4033924	0.3795154	0.355732
0.000133695	0.5704842	0.5476893	0.524615	0.501377	0.4779557	0.4544655	0.4308712	0.4070041	0.3831996	0.3595055
0.000150157	0.5735245	0.550801	0.5277945	0.5046307	0.4812824	0.4578805	0.4343715	0.4105965	0.3868814	0.3632677
0.000168606	0.5765519	0.5539019	0.5309621	0.507876	0.4846049	0.4612865	0.4378643	0.4141814	0.3905469	0.3670232
0.000189358	0.5795775	0.5570003	0.5341326	0.5111239	0.4879376	0.4646991	0.4413628	0.4177762	0.3942238	0.370784
0.000212707	0.5826021	0.5600974	0.5373052	0.5143747	0.4912773	0.4681173	0.4448635	0.421374	0.3979081	0.3745513
0.00023887	0.5856127	0.5631831	0.5404629	0.5176165	0.4946079	0.4715268	0.4483554	0.4249666	0.4015841	0.3783115
0.000268268	0.5886196	0.5662661	0.5436216	0.5208573	0.4979374	0.4749389	0.4518496	0.4285508	0.4052626	0.38207
0.000301315	0.5916228	0.5693464	0.5467798	0.5240972	0.501269	0.4783537	0.4553484	0.4321482	0.4089456	0.3858333
0.000338415	0.594618	0.5724222	0.5499347	0.5273356	0.5045974	0.481766	0.4588461	0.4357392	0.4126306	0.3895982
0.000380069	0.5976063	0.5754955	0.5530876	0.5305715	0.507921	0.4851764	0.4623469	0.4393293	0.4163095	0.3933657
0.000426884	0.6005932	0.5785647	0.556244	0.5338074	0.5112478	0.4885916	0.4658543	0.4429279	0.4199912	0.3971396
0.000479376	0.6035703	0.5816268	0.5593948	0.5370399	0.514568	0.4920002	0.4693576	0.4465182	0.4236715	0.4009122
0.000538427	0.6065505	0.5846916	0.5625466	0.5402805	0.5178937	0.4954121	0.4728656	0.4501181	0.4273593	0.404694
0.000604685	0.609528	0.5877514	0.5656962	0.5435183	0.521217	0.4988217	0.4763727	0.453714	0.4310522	0.4084758
0.000679133	0.6125041	0.5908115	0.5688456	0.5467569	0.5245425	0.5022353	0.4798813	0.4573147	0.4347456	0.4122601
0.000762736	0.6154774	0.5938696	0.5719939	0.5499945	0.5278681	0.5056503	0.4833887	0.4609166	0.438446	0.416047
0.000856651	0.6184483	0.596927	0.5751414	0.5532336	0.5311965	0.5090688	0.486899	0.464522	0.4421476	0.4198353
0.000962111	0.6214195	0.5999845	0.5782879	0.5564719	0.5345256	0.5124909	0.4904127	0.4681295	0.4458524	0.423624
0.001080578	0.6243796	0.6030388	0.5814291	0.5597011	0.5378532	0.5159197	0.4939234	0.4717384	0.4495512	0.4274065
0.001213551	0.6273479	0.6060967	0.5845804	0.5629441	0.5411872	0.5193456	0.4974449	0.4753534	0.4532585	0.4312068
0.001363111	0.6303237	0.6091616	0.587738	0.5661951	0.5445296	0.5227799	0.5009755	0.4789765	0.456979	0.4350174
0.001530469	0.6332907	0.612219	0.5908886	0.5694389	0.547864	0.5262065	0.5044975	0.4825928	0.4606918	0.4388205
0.001718988	0.6362704	0.6152898	0.5940518	0.5726966	0.5512156	0.529651	0.5080374	0.4862268	0.4644246	0.4426423
0.001930555	0.6392524	0.618363	0.5972195	0.575958	0.5545696	0.5331004	0.5115798	0.4898653	0.46816	0.4464694
0.002168561	0.6422446	0.6214485	0.6003976	0.5792307	0.5579382	0.5365647	0.5151369	0.4935177	0.4719115	0.4503123
0.002435693	0.645242	0.6245384	0.6035827	0.5825108	0.5613109	0.5400351	0.5187008	0.4971766	0.4756694	0.4541617
0.002735171	0.6482422	0.6276327	0.606771	0.5857941	0.5646902	0.5435109	0.5222692	0.5008422	0.4794294	0.4580172
0.003072256	0.6512592	0.6307443	0.6099769	0.5890961	0.5680885	0.5470057	0.5258571	0.504527	0.4832113	0.4618943
0.003450129	0.6542832	0.6338632	0.6131914	0.5924057	0.571493	0.5505078	0.5294518	0.5082201	0.4870005	0.4657799
0.003874805	0.6573228	0.6369964	0.6164221	0.5957326	0.574915	0.5540273	0.5330669	0.5119323	0.4908095	0.4696841
